Formation,Offre initiale ,Offre de taille fixe,Descripteur offre
PRI,"Assistant management sécurité et prévention des risques
Aéroport Toulouse - Blagnac - Toulouse - Blagnac, Haute-Garonne
CDI
5ème aéroport français et 1er de province pour le transport de marchandise, Aéroport Toulouse-
Blagnac est une plateforme aéroportuaire d'envergure internationale qui a franchi en 2016
pour la première fois de son histoire les 8 millions de passagers annuels.
Dans le cadre de la mise en service de nouvelles infrastructures, le service sécurité de
l'aéroport recherche un stagiaire pour participer à l'animation et au pilotage du domaine
incendie et sécurité. Ces installations porteront la surface ouverte au public classées comme
ERP de 1ère catégorie à environ 126.000 m2, permettant d'accueillir une moyenne de 22.000
passagers par jour.
MISSIONS PRINCIPALES
Appuyer le SSIAP3 du site pour la préparation et le suivi de réception des nouveaux
aménagements, notamment vis-à-vis de la commission de sécurité ;
Piloter la mise à niveau du référentiel de sécurité incendie : plans d'intervention et
d'évacuation, points de rassemblement, consignes et procédures d'intervention, etc… ;
Proposer et mettre en place une restructuration des formations en matière de sécurité
incendie et de gestion de l'évacuation à destination de l'ensemble du personnel ;
Proposer et mettre en place des outils informatiques de suivi des dossiers
d'aménagement et étudier les solutions techniques pour déployer un registre de
sécurité incendie dématérialisé.
ADMINISTRATIF
Le stagiaire sera intégré au sein de la Direction des Opérations - Service Sécurité.
Début du stage : à partir de Mars/Avril 2018 pour une durée de 5 à 6 mois.
Gratification : entre 1000 € et 1300 € bruts mensuel (selon profil).
Avantages : tickets restaurant + remboursement 75% frais transport en commun.
PROFIL
Niveau : Bac +5 Master ou Ingénieur en Hygiène - Sécurité - Prévention des Risques
Compétences : connaissances pédagogiques ou expériences en sécurité incendie de
niveau SSIAP2/3 ou PREV1/2
Qualités : Rigueur et organisation, bon relationnel, autonomie, savoir-faire technique,",,
PRI,"Assistant management sécurité et prévention des risques
Aéroport Toulouse - Blagnac - Toulouse - Blagnac, Haute-Garonne
CDI
5ème aéroport français et 1er de province pour le transport de marchandise, Aéroport Toulouse-
Blagnac est une plateforme aéroportuaire d'envergure internationale qui a franchi en 2016
pour la première fois de son histoire les 8 millions de passagers annuels.
Dans le cadre de la mise en service de nouvelles infrastructures, le service sécurité de
l'aéroport recherche un stagiaire pour participer à l'animation et au pilotage du domaine
incendie et sécurité. Ces installations porteront la surface ouverte au public classées comme
ERP de 1ère catégorie à environ 126.000 m2, permettant d'accueillir une moyenne de 22.000
passagers par jour.
MISSIONS PRINCIPALES
Appuyer le SSIAP3 du site pour la préparation et le suivi de réception des nouveaux
aménagements, notamment vis-à-vis de la commission de sécurité ;
Piloter la mise à niveau du référentiel de sécurité incendie : plans d'intervention et
d'évacuation, points de rassemblement, consignes et procédures d'intervention, etc… ;
Proposer et mettre en place une restructuration des formations en matière de sécurité
incendie et de gestion de l'évacuation à destination de l'ensemble du personnel ;
Proposer et mettre en place des outils informatiques de suivi des dossiers
d'aménagement et étudier les solutions techniques pour déployer un registre de
sécurité incendie dématérialisé.
ADMINISTRATIF
Le stagiaire sera intégré au sein de la Direction des Opérations - Service Sécurité.
Début du stage : à partir de Mars/Avril 2018 pour une durée de 5 à 6 mois.
Gratification : entre 1000 € et 1300 € bruts mensuel (selon profil).
Avantages : tickets restaurant + remboursement 75% frais transport en commun.
PROFIL
Niveau : Bac +5 Master ou Ingénieur en Hygiène - Sécurité - Prévention des Risques
Compétences : connaissances pédagogiques ou expériences en sécurité incendie de
niveau SSIAP2/3 ou PREV1/2
Qualités : Rigueur et organisation, bon relationnel, autonomie, savoir-faire technique,",,
PRI,"Assistant management sécurité et prévention des risques
Aéroport Toulouse - Blagnac - Toulouse - Blagnac, Haute-Garonne
CDI
5ème aéroport français et 1er de province pour le transport de marchandise, Aéroport Toulouse-
Blagnac est une plateforme aéroportuaire d'envergure internationale qui a franchi en 2016
pour la première fois de son histoire les 8 millions de passagers annuels.
Dans le cadre de la mise en service de nouvelles infrastructures, le service sécurité de
l'aéroport recherche un stagiaire pour participer à l'animation et au pilotage du domaine
incendie et sécurité. Ces installations porteront la surface ouverte au public classées comme
ERP de 1ère catégorie à environ 126.000 m2, permettant d'accueillir une moyenne de 22.000
passagers par jour.
MISSIONS PRINCIPALES
Appuyer le SSIAP3 du site pour la préparation et le suivi de réception des nouveaux
aménagements, notamment vis-à-vis de la commission de sécurité ;
Piloter la mise à niveau du référentiel de sécurité incendie : plans d'intervention et
d'évacuation, points de rassemblement, consignes et procédures d'intervention, etc… ;
Proposer et mettre en place une restructuration des formations en matière de sécurité
incendie et de gestion de l'évacuation à destination de l'ensemble du personnel ;
Proposer et mettre en place des outils informatiques de suivi des dossiers
d'aménagement et étudier les solutions techniques pour déployer un registre de
sécurité incendie dématérialisé.
ADMINISTRATIF
Le stagiaire sera intégré au sein de la Direction des Opérations - Service Sécurité.
Début du stage : à partir de Mars/Avril 2018 pour une durée de 5 à 6 mois.
Gratification : entre 1000 € et 1300 € bruts mensuel (selon profil).
Avantages : tickets restaurant + remboursement 75% frais transport en commun.
PROFIL
Niveau : Bac +5 Master ou Ingénieur en Hygiène - Sécurité - Prévention des Risques
Compétences : connaissances pédagogiques ou expériences en sécurité incendie de
niveau SSIAP2/3 ou PREV1/2
Qualités : Rigueur et organisation, bon relationnel, autonomie, savoir-faire technique,",,
PRI,"Consultant Risques Industriels H/F Offre précédente  Offre 19 / 34  Offre suivante
 Envoyer cette offre à un ami  Imprimer cette offre (nouvelle fenêtre)  Retour au résultat de la recherche 


Postuler en complétant votre espace candidatPostuler en 1 clic
Détail de l'offre
Detail de l'offre
Apave  (logo)
Notre société
Le métier d'Apave ? Accompagner les entreprises et collectivités en France ou à l'international dans la maîtrise de leurs risques techniques, humains et environnementaux. 

Chaque jour, nos 10 860 collaborateurs sont plongés au cœur des enjeux de sécurité et interviennent sur des projets techniques passionnants.  
Référence
17.673 CRI Bordeaux-9082  
Description du poste
Intitulé de l'offre
Consultant Risques Industriels H/F
Métier / Spécialité
Conseil - Qualité Hygiene Securité Environnement
Type de contrat
Emploi
Précision du contrat
CDI
Mission proposée
Rattaché(e) à l'équipe Conseil Sud-Ouest, vous conseillez et assistez nos clients sur des projets liés au système de management et la prévention des risques industriels. Vous réalisez des missions d'audit, de diagnostics, d'expertise, de veille réglementaire, d'information et de formation dans les domaines QSE.
Vous prenez une part active au développement commercial dans votre domaine de compétences en fidélisant et développant votre clientèle. 
Vous intervenez sur la région Aquitaine. des déplacements dans les autres régions ne sont pas à exclure.
Profil souhaité
De formation Bac + 5 QHSE ou Organisation ou Maîtrise des risques industriels ou équivalent, vous avez au moins 5 ans d'expérience en cabinet de conseil ou en bureau d'études dans les domaines de la maîtrise des risques et des systèmes de management et êtes un(e) consultant(e) expérimenté(e) ou une expérience 5-10 ans en entreprise dans ces domaines et dans des secteurs d'activités variés.
Vous maîtrisez le contexte ICPE, les référentiels réglementaires et normatifs (ISO 9001, ISO 14001, ISO 50001, MASE, OHSAS, systèmes intégrés) ainsi que les techniques d'audit. 
Vous êtes attiré(e) par la transmission des savoirs et la pédagogie. 
Autonome, rigoureux(se), vous êtes reconnu(e) pour votre niveau d'expertise, votre méthodologie et vos capacités d'analyse. 
Votre aisance relationnelle, votre capacité à travailler en équipe, votre goût pour le développement commercial seront autant d'atouts pour réussir dans ce poste exigeant.
Localisation du poste
Localisation du poste à pourvoir
National, France Métropolitaine, Aquitaine, Bordeaux",,
PRI,"Consultant Risques Industriels H/F Offre précédente  Offre 19 / 34  Offre suivante
 Envoyer cette offre à un ami  Imprimer cette offre (nouvelle fenêtre)  Retour au résultat de la recherche 


Postuler en complétant votre espace candidatPostuler en 1 clic
Détail de l'offre
Detail de l'offre
Apave  (logo)
Notre société
Le métier d'Apave ? Accompagner les entreprises et collectivités en France ou à l'international dans la maîtrise de leurs risques techniques, humains et environnementaux. 

Chaque jour, nos 10 860 collaborateurs sont plongés au cœur des enjeux de sécurité et interviennent sur des projets techniques passionnants.  
Référence
17.673 CRI Bordeaux-9082  
Description du poste
Intitulé de l'offre
Consultant Risques Industriels H/F
Métier / Spécialité
Conseil - Qualité Hygiene Securité Environnement
Type de contrat
Emploi
Précision du contrat
CDI
Mission proposée
Rattaché(e) à l'équipe Conseil Sud-Ouest, vous conseillez et assistez nos clients sur des projets liés au système de management et la prévention des risques industriels. Vous réalisez des missions d'audit, de diagnostics, d'expertise, de veille réglementaire, d'information et de formation dans les domaines QSE.
Vous prenez une part active au développement commercial dans votre domaine de compétences en fidélisant et développant votre clientèle. 
Vous intervenez sur la région Aquitaine. des déplacements dans les autres régions ne sont pas à exclure.
Profil souhaité
De formation Bac + 5 QHSE ou Organisation ou Maîtrise des risques industriels ou équivalent, vous avez au moins 5 ans d'expérience en cabinet de conseil ou en bureau d'études dans les domaines de la maîtrise des risques et des systèmes de management et êtes un(e) consultant(e) expérimenté(e) ou une expérience 5-10 ans en entreprise dans ces domaines et dans des secteurs d'activités variés.
Vous maîtrisez le contexte ICPE, les référentiels réglementaires et normatifs (ISO 9001, ISO 14001, ISO 50001, MASE, OHSAS, systèmes intégrés) ainsi que les techniques d'audit. 
Vous êtes attiré(e) par la transmission des savoirs et la pédagogie. 
Autonome, rigoureux(se), vous êtes reconnu(e) pour votre niveau d'expertise, votre méthodologie et vos capacités d'analyse. 
Votre aisance relationnelle, votre capacité à travailler en équipe, votre goût pour le développement commercial seront autant d'atouts pour réussir dans ce poste exigeant.
Localisation du poste
Localisation du poste à pourvoir
National, France Métropolitaine, Aquitaine, Bordeaux",,
PRI,"Consultant Risques Industriels H/F Offre précédente  Offre 19 / 34  Offre suivante
 Envoyer cette offre à un ami  Imprimer cette offre (nouvelle fenêtre)  Retour au résultat de la recherche 


Postuler en complétant votre espace candidatPostuler en 1 clic
Détail de l'offre
Detail de l'offre
Apave  (logo)
Notre société
Le métier d'Apave ? Accompagner les entreprises et collectivités en France ou à l'international dans la maîtrise de leurs risques techniques, humains et environnementaux. 

Chaque jour, nos 10 860 collaborateurs sont plongés au cœur des enjeux de sécurité et interviennent sur des projets techniques passionnants.  
Référence
17.673 CRI Bordeaux-9082  
Description du poste
Intitulé de l'offre
Consultant Risques Industriels H/F
Métier / Spécialité
Conseil - Qualité Hygiene Securité Environnement
Type de contrat
Emploi
Précision du contrat
CDI
Mission proposée
Rattaché(e) à l'équipe Conseil Sud-Ouest, vous conseillez et assistez nos clients sur des projets liés au système de management et la prévention des risques industriels. Vous réalisez des missions d'audit, de diagnostics, d'expertise, de veille réglementaire, d'information et de formation dans les domaines QSE.
Vous prenez une part active au développement commercial dans votre domaine de compétences en fidélisant et développant votre clientèle. 
Vous intervenez sur la région Aquitaine. des déplacements dans les autres régions ne sont pas à exclure.
Profil souhaité
De formation Bac + 5 QHSE ou Organisation ou Maîtrise des risques industriels ou équivalent, vous avez au moins 5 ans d'expérience en cabinet de conseil ou en bureau d'études dans les domaines de la maîtrise des risques et des systèmes de management et êtes un(e) consultant(e) expérimenté(e) ou une expérience 5-10 ans en entreprise dans ces domaines et dans des secteurs d'activités variés.
Vous maîtrisez le contexte ICPE, les référentiels réglementaires et normatifs (ISO 9001, ISO 14001, ISO 50001, MASE, OHSAS, systèmes intégrés) ainsi que les techniques d'audit. 
Vous êtes attiré(e) par la transmission des savoirs et la pédagogie. 
Autonome, rigoureux(se), vous êtes reconnu(e) pour votre niveau d'expertise, votre méthodologie et vos capacités d'analyse. 
Votre aisance relationnelle, votre capacité à travailler en équipe, votre goût pour le développement commercial seront autant d'atouts pour réussir dans ce poste exigeant.
Localisation du poste
Localisation du poste à pourvoir
National, France Métropolitaine, Aquitaine, Bordeaux",,
PRI,"Consultant Risques Industriels H/F Offre précédente  Offre 19 / 34  Offre suivante
 Envoyer cette offre à un ami  Imprimer cette offre (nouvelle fenêtre)  Retour au résultat de la recherche 


Postuler en complétant votre espace candidatPostuler en 1 clic
Détail de l'offre
Detail de l'offre
Apave  (logo)
Notre société
Le métier d'Apave ? Accompagner les entreprises et collectivités en France ou à l'international dans la maîtrise de leurs risques techniques, humains et environnementaux. 

Chaque jour, nos 10 860 collaborateurs sont plongés au cœur des enjeux de sécurité et interviennent sur des projets techniques passionnants.  
Référence
17.673 CRI Bordeaux-9082  
Description du poste
Intitulé de l'offre
Consultant Risques Industriels H/F
Métier / Spécialité
Conseil - Qualité Hygiene Securité Environnement
Type de contrat
Emploi
Précision du contrat
CDI
Mission proposée
Rattaché(e) à l'équipe Conseil Sud-Ouest, vous conseillez et assistez nos clients sur des projets liés au système de management et la prévention des risques industriels. Vous réalisez des missions d'audit, de diagnostics, d'expertise, de veille réglementaire, d'information et de formation dans les domaines QSE.
Vous prenez une part active au développement commercial dans votre domaine de compétences en fidélisant et développant votre clientèle. 
Vous intervenez sur la région Aquitaine. des déplacements dans les autres régions ne sont pas à exclure.
Profil souhaité
De formation Bac + 5 QHSE ou Organisation ou Maîtrise des risques industriels ou équivalent, vous avez au moins 5 ans d'expérience en cabinet de conseil ou en bureau d'études dans les domaines de la maîtrise des risques et des systèmes de management et êtes un(e) consultant(e) expérimenté(e) ou une expérience 5-10 ans en entreprise dans ces domaines et dans des secteurs d'activités variés.
Vous maîtrisez le contexte ICPE, les référentiels réglementaires et normatifs (ISO 9001, ISO 14001, ISO 50001, MASE, OHSAS, systèmes intégrés) ainsi que les techniques d'audit. 
Vous êtes attiré(e) par la transmission des savoirs et la pédagogie. 
Autonome, rigoureux(se), vous êtes reconnu(e) pour votre niveau d'expertise, votre méthodologie et vos capacités d'analyse. 
Votre aisance relationnelle, votre capacité à travailler en équipe, votre goût pour le développement commercial seront autant d'atouts pour réussir dans ce poste exigeant.
Localisation du poste
Localisation du poste à pourvoir
National, France Métropolitaine, Aquitaine, Bordeaux",,
PRI,"Consultant Risques Industriels H/F Offre précédente  Offre 19 / 34  Offre suivante
 Envoyer cette offre à un ami  Imprimer cette offre (nouvelle fenêtre)  Retour au résultat de la recherche 


Postuler en complétant votre espace candidatPostuler en 1 clic
Détail de l'offre
Detail de l'offre
Apave  (logo)
Notre société
Le métier d'Apave ? Accompagner les entreprises et collectivités en France ou à l'international dans la maîtrise de leurs risques techniques, humains et environnementaux. 

Chaque jour, nos 10 860 collaborateurs sont plongés au cœur des enjeux de sécurité et interviennent sur des projets techniques passionnants.  
Référence
17.673 CRI Bordeaux-9082  
Description du poste
Intitulé de l'offre
Consultant Risques Industriels H/F
Métier / Spécialité
Conseil - Qualité Hygiene Securité Environnement
Type de contrat
Emploi
Précision du contrat
CDI
Mission proposée
Rattaché(e) à l'équipe Conseil Sud-Ouest, vous conseillez et assistez nos clients sur des projets liés au système de management et la prévention des risques industriels. Vous réalisez des missions d'audit, de diagnostics, d'expertise, de veille réglementaire, d'information et de formation dans les domaines QSE.
Vous prenez une part active au développement commercial dans votre domaine de compétences en fidélisant et développant votre clientèle. 
Vous intervenez sur la région Aquitaine. des déplacements dans les autres régions ne sont pas à exclure.
Profil souhaité
De formation Bac + 5 QHSE ou Organisation ou Maîtrise des risques industriels ou équivalent, vous avez au moins 5 ans d'expérience en cabinet de conseil ou en bureau d'études dans les domaines de la maîtrise des risques et des systèmes de management et êtes un(e) consultant(e) expérimenté(e) ou une expérience 5-10 ans en entreprise dans ces domaines et dans des secteurs d'activités variés.
Vous maîtrisez le contexte ICPE, les référentiels réglementaires et normatifs (ISO 9001, ISO 14001, ISO 50001, MASE, OHSAS, systèmes intégrés) ainsi que les techniques d'audit. 
Vous êtes attiré(e) par la transmission des savoirs et la pédagogie. 
Autonome, rigoureux(se), vous êtes reconnu(e) pour votre niveau d'expertise, votre méthodologie et vos capacités d'analyse. 
Votre aisance relationnelle, votre capacité à travailler en équipe, votre goût pour le développement commercial seront autant d'atouts pour réussir dans ce poste exigeant.
Localisation du poste
Localisation du poste à pourvoir
National, France Métropolitaine, Aquitaine, Bordeaux",,
PRI,"Stage sécurité au travail et prévention des risques H/F
BHV - Paris
Stage
En tant stagiaire au service sécurité au travail et prévention des risques , vous devez intervenir sur la mise à jour du document unique d'évaluation des risques professionnels, Ainsi: - Vous favorisez les remontées d'informations et prenez en compte leurs idées d'amélioration. - Vous participez à l'analyse des situations à risques, incidents et accidents. - Vous réalisez des visites d'inspection commune préalable pour la rédaction de plans de prévention avec les marques - Vous maîtrisez l'évaluation des risques - Vous interviewez les salariés pour identifier les risques du poste de travail - Vous travaillez en transversalité avec les différents services
Profil
- Vous maîtrisez la réglementation et la législation en matière de sécurité et environnement - Vous avez de bonnes connaissances de l'activité de l'entreprise, des process et technologies associées - Vous avez le sens de l'analyse et l'esprit de synthèse - Vous êtes force de proposition et prenez des initiatives - Vous êtes réactif, rigoureux, fiable, autonome et possédez des capacités d'adaptation - Vous avez un excellent relationnel - Vous êtes discret et respectueux de la confidentialité",,
PRI,"Alternance - Ingénieur Prévention des Risques (Rentrée 2018) - H/F
Par Edf   Alternance   Dieppe (Seine-Maritime)   Master, Titre d'ingénieur, Bac +5
Postuler maintenant    Sauvegarder
il y a 7 minutes 31 vues
Description de l'offre

EDF, leader de l'énergie, recherche des femmes et des hommes de talent pour assurer son développement et renouveler ses compétences.

L'alternance permet d'acquérir une véritable expérience professionnelle tout en continuant à se former. Chez EDF, nous y croyons et nous nous impliquons dans la réussite des projets de nos alternants. Chaque année, nous accueillons plus de 3 200 nouveaux alternants, du CAP au Bac+5. Pourquoi pas toi ?

La centrale nucléaire de Paluel (76) et plus particulièrement le service prévention des risques est à la recherche de nouveaux talents afin de produire une énergie sûre, propre et compétitive. Rejoins-nous !

Description des activités et des missions confiées à l'alternant 

Le service prévention des risques a pour objectif de faire de la prévention, d'aider et de faire des contrôles auprès de nos différents métiers afin de s'assurer qu'ils réalisent leurs activités sans danger.

Accompagné de notre équipe et de ton tuteur, tu participeras à :

- garantir l'application de la réglementation et des doctrines dans les domaines de la sécurité, de la radioprotection (Optimisation de la Dosimétrie et Propreté Radiologique - Zonage) et de l'Incendie,

- piloter des dossiers à fort enjeu au niveau du site dans les domaines de la sécurité dont l'animation du management de la prévention, de la radioprotection (Optimisation de la Dosimétrie et Propreté Radiologique - Zonage) et de l'Incendie,

- appuyer les sections du SPR et l'ensemble des services du CNPE dans les domaines de compétences (sécurité / radioprotection / incendie) et ceci au titre de l'expertise,

- garantir l'animation du retour d'expérience pour le domaine "" Prévention des Risques "" sur le CNPE. L'ingénierie assure l'analyse 2ème niveau du REX local et valorise le REX national et international.

 

Durant ton alternance, tu auras l'occasion de mettre en pratique tes connaissances théoriques et  de développer celles en lien avec le secteur de la production d'énergie.
Profil recherché

Tu es quelqu'un de particulièrement curieux(se) et rigoureux(se) dans ton travail ? Tu es extrêmement motivé(e) ? Tu as envie d'apprendre notre métier ? N'hésite pas à postuler !

Merci de joindre à ta candidature : ton CV, ta lettre de motivation, ainsi que tes relevés de notes ou tous autres documents pouvant nous aider à mieux te connaitre.

Bon à savoir :

Pour que ton alternance se déroule dans les meilleures conditions, des aides à la mobilité et au logement pourront être proposées sous certaines conditions.

Comme toutes les offres que nous déposons sur ce site, et conformément aux engagements pris par EDF en faveur de l'accueil et de l'intégration des personnes en situation de handicap, les offres proposées sont ouvertes à tous !",,
